Palavra_Reservada	| class
Identificador		| Factorial
Pontuacao			| {
Palavra_Reservada	| public
Palavra_Reservada	| static
Palavra_Reservada	| void
Palavra_Reservada	| main
Pontuacao			| (
Palavra_Reservada	| String
Pontuacao			| [
Pontuacao			| ]
Identificador		| a
Pontuacao			| )
Pontuacao			| {
Palavra_Reservada	| System.out.println
Pontuacao			| (
Numerais			| 13
Operadores			| <
Numerais			| 5
Pontuacao			| )
Pontuacao			| ;
Pontuacao			| }
Pontuacao			| }
Palavra_Reservada	| class
Identificador		| Fac
Pontuacao			| [
Palavra_Reservada	| extends
Identificador		| Ans
Pontuacao			| ]
Pontuacao			| {
Palavra_Reservada	| boolean
Identificador		| Answer
Pontuacao			| ;
Palavra_Reservada	| public
Palavra_Reservada	| boolean
Identificador		| Answer
Pontuacao			| (
Palavra_Reservada	| int
Identificador		| numero
Pontuacao			| )
Pontuacao			| {
Palavra_Reservada	| boolean
Identificador		| Aux
Pontuacao			| ;
Palavra_Reservada	| while
Pontuacao			| (
Numerais			| 2
Operadores			| <
Numerais			| 59
Pontuacao			| )
Identificador		| Aux
Operadores			| =
Numerais			| 9
Operadores			| <
Numerais			| 8
Pontuacao			| ;
Palavra_Reservada	| return
Numerais			| 13
Operadores			| <
Numerais			| 8
Pontuacao			| ;
Pontuacao			| }
Pontuacao			| }
